#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#, ,#, ,#,#, ,#,#, , ,#, ,#, , , ,#, , , ,#, , , ,#, , , ,#, , , , , , , , , , ,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#, ,#
#, ,#, ,#, , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#
#, ,#,#,#, ,#,#, , , ,#, , , ,#, , , ,#, , , ,#, , , ,#, ,#, ,#, , , ,#, ,#, , ,#, ,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#, ,#, ,#
#, , , ,#, , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#
#,#,#,#,#,#, ,#, ,#, ,#, , , , , , , , , , , , , ,#, ,#, ,#, ,#, ,#, , , , ,#, ,#, ,#, ,#, , , , , , , , ,#, , , ,#, , , , , , , , , , , ,#, ,#, , , , , , , , , , , , , , , , , ,#, ,#, ,#, ,#, ,#, ,#
#, , , ,#, , ,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#, ,#, ,#,#, , , ,#, , , ,#, , , ,#, ,#, ,#, , , ,#, , , , , , , , , , , , ,#, ,#, ,#, , , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, , , ,#, ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , ,#, ,#, ,#, ,#, ,#, ,#
#, ,#, ,#, , ,#,#,#, ,#,#,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#,#,#, ,#,#,#,#, ,#, ,#, ,#,#,#,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#, ,#,#, ,#, , , ,#, ,#, ,#, , , ,#, ,#, ,#, ,#, ,#, ,#, , , ,#, ,#, , ,#, ,#, ,#, ,#, , , , , , ,#, , , ,#, , , ,#, , , , , ,#, , , ,#, ,#, , , ,#, ,#, ,#, ,#, , , ,#, ,#, , , ,#, ,#, ,#, ,#, ,#
#, ,#, , , , ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#
#,#,#,#,#,#, ,#, ,#, , , ,#, ,#, ,#, , , , , , , ,#, ,#, ,#, ,#, ,#,#,#, ,#, , ,#, ,#, ,#, , , , , , , , ,#, , , , , ,#, , , , , ,#, , , ,#, ,#, , , , , , , , , , , , , , , , , , , ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#, , , , , ,#,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#
#, ,#,#, ,#, ,#, , , , , , , , , , , , , ,#, , , ,#, ,#, ,#, ,#, ,#,#,#, , ,#, ,#, ,#, ,#, , , , , , ,#, , , ,#, ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , , , , , ,#, , , ,#, ,#, , , ,#, ,#, ,#, ,#, ,#, ,#
#, , ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#,#,#,#, ,#, , , ,#, ,#, , , ,#, , , ,#, , , , , ,#, , , ,#, ,#, ,#, ,#, , ,#, ,#, ,#, , , , , , ,#, ,#, , , , , ,#, ,#, , , , , , , ,#, ,#, ,#, ,#, , , ,#, , , , , ,#, , , ,#, ,#, ,#, ,#, ,#, ,#
#, ,#, , , , ,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#,#, ,#, ,#,#,#,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#
#, ,#,#,#, ,#,#, , , ,#, ,#, , , ,#, ,#, ,#, , , , , ,#, , , , , , , ,#, , , , ,#, ,#, ,#, , , , , , , , , , , , ,#, , , ,#, , , , , ,#, , , ,#, , , ,#, ,#, ,#, , , , , , , ,#, , , ,#, ,#, ,#, ,#, ,#
#, ,#, , , , ,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#
#, ,#,#,#, ,#,#, ,#, , , , , , , , , ,#, , , ,#, , , ,#, , , , , , , , , , , , ,#, ,#, ,#, , ,#, , , , , ,#, ,#, , , ,#, ,#, ,#, , , , , ,#, ,#, , , , , ,#, , , ,#, ,#, , , ,#, , , ,#, ,#, ,#, ,#, ,#
#, ,#, , , , ,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#
#,#,#, ,#,#, ,#, , , ,#, ,#, ,#, ,#, , , , , ,#, , , ,#, , , ,#, , , , , , ,#, ,#, ,#, ,#, , ,#,#, , , ,#, , , ,#,#, ,#,#, , , ,#, , , ,#, , , ,#, , , ,#,#, ,#,#, , , ,#, , , ,#,#, ,#, ,#, ,#, ,#, ,#
#, , , ,#, , ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, , , ,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#, , , ,#, ,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#,#,#,#,#,#, ,#, , , , , , , , , , , , , , , , , ,#, , , ,#, ,#, ,#, , ,#, ,#, ,#, ,#, , ,#,#, ,#,#,#, , , ,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#, ,#, ,#, ,#, ,#,#, ,#,#, , , ,#, ,#,#,#, ,#, ,#, ,#,#,#, , ,#,#, ,#,#,#, , , ,#, ,#, ,#, , ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#,#,#, ,#,#,#,#, ,#, , , , , , , , , , , ,#, ,#, , , ,#, , , ,#, ,#, ,#, , ,#, ,#, ,#, ,#, , ,#,#,#,#, ,#, ,#,#,#, , , ,#, ,#,#,#, ,#,#,#, ,#,#,#, , ,#,#, , , ,#, ,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#, , , , ,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#, ,#,#, ,#, ,#, , , ,#, ,#, , , ,#, ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , , ,#, ,#, ,#, , ,#,#, , , ,#, ,#,#,#, ,#, ,#, , , ,#, , , ,#, , , ,#, ,#, ,#, ,#, ,#, ,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, , , ,#, , ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#,#, ,#, ,#, ,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#
#,#,#,#,#,#, ,#, , , , , , , , , ,#, ,#, ,#, , , ,#, ,#, , , , , ,#, , , , ,#, ,#, ,#, ,#, , , , , , ,#, ,#, , , ,#, , , ,#, ,#, ,#, , , ,#, , , ,#, , , ,#, , , , , , , , , ,#, , , ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#, ,#, ,#,#, , , , , , , ,#, , , ,#, , , ,#, ,#, ,#, , , ,#, ,#, , , , , , ,#, ,#, ,#, , , , ,#, , , , , ,#, , , , , , , ,#, , , , , ,#, ,#, ,#, , , ,#, , , , , , , ,#, , , , , ,#, ,#, ,#, ,#, ,#
#, ,#, ,#, , ,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#, ,#,#,#,#,#,#, , , ,#, ,#, , , ,#, ,#, , , , , , , ,#, , , ,#, , , , , , , , ,#, ,#, ,#, , , , ,#, ,#, ,#, , , ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , , , , , , , ,#, , , ,#, , , ,#, ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#
#, ,#,#,#,#,#,#, ,#, ,#, ,#, , , , , , , , , ,#, ,#, ,#, , , ,#, ,#, , , , ,#, ,#, ,#, ,#, , , , ,#, , , , , , , , , ,#, ,#, ,#, , , ,#, ,#, ,#, ,#, ,#, , , , , ,#, , , , , , , , , ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#
#, ,#,#,#, ,#,#, , , ,#, ,#, , , ,#, , , ,#, ,#, , , ,#, , , ,#, ,#, , , , ,#, ,#, ,#, ,#, , , , ,#, ,#, ,#, ,#, , , , , , , ,#, ,#, , , ,#, ,#, ,#, ,#, ,#, , , ,#, , , , , ,#, , , ,#, ,#, ,#, ,#, ,#
#, , , ,#, , ,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#
#, ,#,#,#,#,#,#, , , ,#, , , , , ,#, ,#, ,#, , , ,#, ,#, , , ,#, ,#, , , , ,#, ,#, ,#, ,#, , , , ,#, ,#, , , , , ,#, , , , , ,#, ,#, , , ,#, ,#, , , ,#, , , , , ,#, ,#, ,#, , , , , ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#,#, ,#,#,#, ,#, ,#, ,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#
#,#,#, ,#,#,#,#, ,#, ,#, ,#, ,#, , , , , , , , , , , ,#, , , ,#, , ,#, , , ,#, ,#, ,#, ,#, , , , ,#, , , ,#, , , ,#, , , , , ,#, ,#, ,#, ,#, ,#, , , ,#, ,#, , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#
#,#,#, ,#,#, ,#, , , , , ,#, , , ,#, ,#, , , ,#, , , ,#, , , ,#, , ,#, ,#, ,#, ,#, ,#, ,#, , , , ,#, ,#, ,#, , , , , ,#, ,#, , , , , ,#, ,#, ,#, ,#, ,#, , , , , , , , , ,#, , , ,#, ,#, ,#, ,#, ,#, ,#
#, , , ,#, , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#, ,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#
#,#,#, ,#,#, ,#, , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, , , , ,#, ,#, , , , , , , ,#, ,#, ,#, , , , , ,#, ,#, , , , , , , , , , , , , , , ,#, , , ,#, ,#, ,#, ,#, ,#
#, , , ,#, , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#
#,#,#,#,#, ,#,#, ,#, , , , , , , , , , , , , , , , , , , , , ,#, , ,#, , , , , ,#, ,#, ,#, , , , ,#, , , ,#, , , ,#, , , , , , , , , , , , , ,#, , , , , , , ,#, ,#, ,#, , , , , , , ,#, ,#, ,#, ,#, ,#
#, , , , , , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#
#, ,#, ,#,#,#,#, ,#, , , ,#, , , , , ,#, , , ,#, , , , , ,#, ,#, ,#, , , , , , ,#, ,#, , , , , , , , , , , , , , , , , , , , , , ,#, , , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#, ,#, ,#
#, ,#, , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#
#,#,#, ,#,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, , , , , , ,#, , , , , , , , , , , , , , , , , , , , , , , , ,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#, ,#
#, ,#, , , , ,#, ,#, ,#, , , ,#, ,#, , , ,#, , , ,#, ,#, , , ,#, ,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#
#, ,#, ,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, , , , , , , , , , , , ,#, , ,#, ,#, , , ,#, , , ,#, ,#, , , , , , , ,#, , , ,#, ,#, ,#, , , , , , , , , , , ,#, , , , , ,#, ,#, ,#
#, , , , , , ,#, , , , , , , , , , , , , , , , , , , , ,#, , , , ,#,#,#,#,#,#, ,#,#,#,#,#, ,#, ,#,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#
#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#, , ,#, , , , , ,#, ,#, ,#, , ,#, ,#, , , ,#, , , , , ,#, ,#, ,#, ,#, ,#, , , ,#, ,#, , , , , ,#, ,#, , , , , , , ,#, ,#, ,#, ,#, ,#
#, , , , , , , , , , , , , ,#, , , , , , , , , , , , , ,#, , , , , ,#, ,#, ,#, ,#, ,#, , , ,#, ,#,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#
#,#,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#, , , , , ,#, ,#, ,#,#,#,#,#, , ,#, , , , , ,#, ,#, ,#, , , , , , , , , ,#, , , ,#, ,#, , , , , ,#, , , , , ,#, , , ,#, ,#, ,#, ,#, ,#
#, ,#, , , , , ,#, , , ,#, , , ,#, ,#, , , ,#, , , , , ,#, ,#, ,#, ,#,#,#,#,#, ,#, , , , , , , ,#,#, ,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#,#,#, ,#,#,#, ,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#
#, ,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#, , ,#, , ,#, ,#,#,#,#,#, , ,#, ,#, , , ,#, , , , , ,#, , , ,#, , , ,#, , , ,#, , , , , , , ,#, ,#, , , , , , , , , ,#, ,#, ,#, ,#
#, , , , , ,#, ,#, ,#, ,#, , , , , , , ,#, ,#, ,#, ,#, ,#, , , ,#, ,#,#, ,#, ,#,#, ,#, , , ,#, ,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#, ,#, , , ,#
#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, , ,#, , ,#, ,#, ,#, ,#, , ,#, ,#, , , ,#, , , ,#, ,#, , , ,#, ,#, ,#, , , ,#, ,#, , , ,#, , , ,#, , , , , , , ,#, ,#, ,#,#,#,#,#
#, ,#, ,#, ,#, ,#, ,#, , , , , ,#, , , , , , , ,#, ,#, ,#, ,#, ,#, ,#,#, ,#,#,#,#, ,#,#,#, ,#, ,#,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#,#,#, ,#, , , ,#, ,#
#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#, , , ,#, , , , , , , , , , , ,#, , ,#, ,#, , , ,#, ,#, , , , , , , ,#, , , ,#, ,#, ,#, ,#, , , ,#, , , , , ,#, ,#, , , , , ,#,#,#, ,#, ,#
#, ,#, ,#, , , ,#, , , ,#, , , , , , , ,#, , , , , , , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#, ,#, ,#, ,#, ,#
#,#,#, ,#, ,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, , , ,#, , , , ,#, ,#, ,#, , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, , , , , ,#, , , ,#, ,#, , , ,#, ,#, ,#, ,#, ,#, ,#
#, ,#, ,#, , , ,#, ,#, ,#, , , ,#, ,#, , , ,#, , , , , ,#, ,#, , , ,#, , , ,#, ,#, ,#, ,#,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#
#, ,#,#,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, , , , ,#, ,#, , , , , ,#, , , , , ,#, , , , , ,#, , , ,#, ,#, ,#, , , ,#, , , ,#, ,#, ,#, , , ,#, ,#, ,#, ,#
